"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
2090,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,"29,246",3.807,0.019580
2091,CRITICAL CARE CLINICS,"1,871",3.804,0.002620
2091,ORGANOMETALLICS,"35,680",3.804,0.029590
2093,QUATERNARY SCIENCE REVIEWS,"24,054",3.803,0.034090
2094,INTERNATIONAL ENDODONTIC JOURNAL,"7,453",3.801,0.006660
2095,Aesthetic Surgery Journal,"4,118",3.799,0.005980
2096,FARADAY DISCUSSIONS,"10,136",3.797,0.015170
2096,POLICY STUDIES JOURNAL,"2,589",3.797,0.002920
2098,Biology-Basel,"1,424",3.796,0.003220
2098,Metallomics,"5,237",3.796,0.009120
2100,AIDS PATIENT CARE AND STDS,"3,533",3.795,0.005860
2100,AIDS PATIENT CARE AND STDS,"3,533",3.795,0.005860
2100,MINERALS ENGINEERING,"14,246",3.795,0.010100
2103,Expert Review of Clinical Immunology,"2,764",3.792,0.005980
2104,Complex & Intelligent Systems,278,3.791,0.000750
2104,MOLECULAR BIOLOGY OF THE CELL,"29,744",3.791,0.036690
2106,MARINE AND PETROLEUM GEOLOGY,"15,147",3.790,0.020590
2107,Geocarto International,"1,908",3.789,0.002410
2108,Journal of Cell Communication and Signaling,"1,212",3.788,0.002100
2108,PREVENTIVE MEDICINE,"17,316",3.788,0.030110
2110,CANCER CYTOPATHOLOGY,"2,768",3.787,0.004670
2110,JAMA Facial Plastic Surgery,"1,216",3.787,0.003300
2112,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,"5,501",3.786,0.006700
2113,SURFACE & COATINGS TECHNOLOGY,"49,415",3.784,0.032730
2114,INTERNATIONAL JOURNAL OF NURSING STUDIES,"10,451",3.783,0.013410
2114,INTERNATIONAL JOURNAL OF NURSING STUDIES,"10,451",3.783,0.013410
2114,Journal of Science-Advanced Materials and Devices,781,3.783,0.001390
2117,JOURNAL OF NATURAL PRODUCTS,"27,288",3.782,0.019040
2118,Canadian Journal of Anesthesia-Journal canadien d anesthesie,"5,678",3.779,0.005550
2119,LIMNOLOGY AND OCEANOGRAPHY,"29,383",3.778,0.016600
2120,Tissue Engineering Part A,"8,980",3.776,0.009860
2121,CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,"5,568",3.775,0.006100
2121,FOREIGN AFFAIRS,"3,685",3.775,0.007600
2121,LAND DEGRADATION & DEVELOPMENT,"6,237",3.775,0.009170
2124,Socio-Economic Review,"1,879",3.774,0.004930
2125,JOURNAL OF ACCOUNTING RESEARCH,"9,274",3.773,0.007250
2126,International Soil and Water Conservation Research,851,3.770,0.001580
2127,Expert Review of Anti-Infective Therapy,"4,096",3.767,0.007000
2128,IEEE ANTENNAS AND PROPAGATION MAGAZINE,"3,133",3.765,0.004020
2129,CHAOS SOLITONS & FRACTALS,"11,801",3.764,0.011990
2129,IMMUNOLOGY AND CELL BIOLOGY,"5,057",3.764,0.007760
2131,Journal of Energy Storage,"2,758",3.762,0.004940
2132,Cancer Research and Treatment,"2,632",3.761,0.005810
2132,Journal of Diabetes Investigation,"3,044",3.761,0.005740
2134,Anatomical Sciences Education,"2,054",3.759,0.002080
2134,Genes,"5,889",3.759,0.017190
2134,SCHIZOPHRENIA RESEARCH,"22,003",3.759,0.030070
2134,SCHIZOPHRENIA RESEARCH,"22,003",3.759,0.030070
2138,COMMUNICATION RESEARCH,"4,690",3.758,0.005290
2138,MEDIATORS OF INFLAMMATION,"12,096",3.758,0.022430
2140,JOURNAL OF LEUKOCYTE BIOLOGY,"16,995",3.757,0.016980
2141,International Small Business Journal-Researching Entrepreneurship,"3,374",3.756,0.002520
2142,Reviews in Fisheries Science & Aquaculture,515,3.755,0.001450
2143,BREAST,"5,114",3.754,0.010220
2143,Skeletal Muscle,"1,205",3.754,0.003620
2145,International Journal of Machine Learning and Cybernetics,"2,447",3.753,0.003980
2146,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,"2,656",3.750,0.002960
2146,Geochemical Perspectives,155,3.750,0.000270
2146,PEST MANAGEMENT SCIENCE,"12,264",3.750,0.014960
2149,Journal of the Royal Society Interface,"13,762",3.748,0.027720
2150,ADVANCES IN ANATOMIC PATHOLOGY,"1,502",3.746,0.002260
2151,IEEE Access,"51,038",3.745,0.081680
2151,JOURNAL OF PSYCHIATRIC RESEARCH,"16,085",3.745,0.020590
2151,JOURNAL OF PSYCHIATRIC RESEARCH,"16,085",3.745,0.020590
2154,AMERICAN NATURALIST,"29,149",3.744,0.016900
2154,Current Topics in Membranes,768,3.744,0.002170
2154,JOURNAL OF SUPERCRITICAL FLUIDS,"11,640",3.744,0.010170
2154,PATHOLOGY,"3,086",3.744,0.004860
2158,Expert Review of Neurotherapeutics,"4,191",3.743,0.006180
2159,EUROPEAN JOURNAL OF SOIL SCIENCE,"7,244",3.742,0.005040
2159,JOURNAL OF PERIODONTOLOGY,"16,306",3.742,0.010160
2159,Obesity,"19,065",3.742,0.027370
2162,EUROPEAN CELLS & MATERIALS,"3,088",3.741,0.003140
2162,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,"7,997",3.741,0.006900
2162,JOINT BONE SPINE,"3,874",3.741,0.005150
2165,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,"14,648",3.740,0.018500
2166,PALLIATIVE MEDICINE,"5,413",3.739,0.008470
2167,AAPS Journal,"6,239",3.737,0.007730
2168,PEDOSPHERE,"3,637",3.736,0.003460
2169,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"6,259",3.733,0.005810
2169,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"6,259",3.733,0.005810
2169,JOURNAL OF URBAN TECHNOLOGY,"1,174",3.733,0.001040
2172,Chemical Engineering and Processing-Process Intensification,"8,998",3.731,0.008010
2173,Journal of Asthma and Allergy,577,3.730,0.001450
2174,Autism Research,"3,611",3.727,0.008560
2174,Autism Research,"3,611",3.727,0.008560
2174,DEVELOPMENTAL REVIEW,"3,351",3.727,0.003550
2177,EUROPEAN JOURNAL OF AGRONOMY,"7,817",3.726,0.008540
2177,FOOD AND BIOPRODUCTS PROCESSING,"4,399",3.726,0.004780
2177,IEEE Antennas and Wireless Propagation Letters,"16,569",3.726,0.031450
2180,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,"14,186",3.725,0.012290
2181,Surfaces and Interfaces,"1,067",3.724,0.001450
2182,CHEMICO-BIOLOGICAL INTERACTIONS,"12,153",3.723,0.011660
2182,CLINICAL ORAL IMPLANTS RESEARCH,"14,178",3.723,0.013970
2182,JOURNAL OF ACCOUNTING & ECONOMICS,"11,086",3.723,0.007850
2182,JOURNAL OF BIOGEOGRAPHY,"15,936",3.723,0.018750
2186,Current Opinion in HIV and AIDS,"2,646",3.722,0.008180
2186,DEVELOPMENTAL SCIENCE,"7,783",3.722,0.012100
2188,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,"8,348",3.721,0.006480
2188,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,"77,774",3.721,0.060420
2190,PLANT PHYSIOLOGY AND BIOCHEMISTRY,"14,505",3.720,0.015930
2191,JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS,"11,013",3.717,0.015310
2192,Language Teaching,"1,466",3.714,0.001570
2192,OPTICS LETTERS,"70,740",3.714,0.087370
2194,JOURNAL OF RHEOLOGY,"6,643",3.711,0.005740
2195,JOURNAL OF ARTHROPLASTY,"20,595",3.709,0.038050
2196,Environmental Evidence,553,3.708,0.001450
2196,Natural Resources Research,932,3.708,0.000960
2198,Frontiers in Neuroscience,"17,394",3.707,0.049740
2198,HARMFUL ALGAE,"6,016",3.707,0.006930
2200,ASSESSMENT,"5,131",3.706,0.007550
2200,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,"18,082",3.706,0.022540
2200,NUCLEAR FUSION,"14,365",3.706,0.019050
2203,INTERNATIONAL AFFAIRS,"2,729",3.705,0.004180
2204,TOXICOLOGICAL SCIENCES,"17,555",3.703,0.014810
2205,PSYCHOSOMATIC MEDICINE,"12,559",3.702,0.009890
2205,PSYCHOSOMATIC MEDICINE,"12,559",3.702,0.009890
2207,ACTA ONCOLOGICA,"7,798",3.701,0.013110
2207,BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,"3,870",3.701,0.004010
2207,Journal of Functional Foods,"13,130",3.701,0.021060
2210,Human-centric Computing and Information Sciences,592,3.700,0.000680
2210,IT Professional,864,3.700,0.000980
2210,JOURNAL OF PEDIATRICS,"31,902",3.700,0.041930
2210,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,"6,026",3.700,0.008820
2210,Studies in Science Education,718,3.700,0.000590
2210,Studies in Science Education,718,3.700,0.000590
2216,CELL CYCLE,"17,356",3.699,0.019560
2217,EVOLUTION,"32,141",3.698,0.024410
2217,JOURNAL OF HUMAN RESOURCES,"5,408",3.698,0.012590
2219,Biomedical Journal,991,3.697,0.002400
2219,JOURNAL OF COUNSELING PSYCHOLOGY,"8,768",3.697,0.005630
2219,JOURNAL OF DIGITAL IMAGING,"2,494",3.697,0.003800
2222,MOLECULAR PLANT-MICROBE INTERACTIONS,"11,599",3.696,0.008300
2223,DERMATOLOGY,"5,372",3.695,0.003860
2224,Cell Adhesion & Migration,"2,521",3.694,0.004130
2224,EARTH SURFACE PROCESSES AND LANDFORMS,"12,465",3.694,0.012830
2226,Frontiers in Chemistry,"4,744",3.693,0.010440
2226,HEARING RESEARCH,"11,072",3.693,0.012500
2228,PSYCHOPHYSIOLOGY,"14,585",3.692,0.012700
2228,PSYCHOPHYSIOLOGY,"14,585",3.692,0.012700
2230,JOURNAL OF EPIDEMIOLOGY,"3,342",3.691,0.005970
2231,JOURNAL OF ETHNOPHARMACOLOGY,"37,198",3.690,0.023330
2232,Human Resource Development Quarterly,"1,479",3.688,0.000590
2233,Molecular Catalysis,"2,939",3.687,0.004990
2234,Current Diabetes Reports,"4,390",3.686,0.010540
2235,HORMONES AND BEHAVIOR,"10,889",3.684,0.011220
2236,JOURNAL OF SEX RESEARCH,"5,076",3.683,0.008160
2236,Pigment Cell & Melanoma Research,"4,674",3.683,0.005890
2238,AMERICAN JOURNAL OF CHINESE MEDICINE,"3,531",3.682,0.002960
2238,GEOTHERMICS,"4,719",3.682,0.006610
2238,LAND USE POLICY,"14,589",3.682,0.020570
2241,ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,"4,333",3.681,0.005830
2241,IEEE TRANSACTIONS ON POWER DELIVERY,"20,762",3.681,0.020120
2241,JOURNAL OF DERMATOLOGICAL SCIENCE,"5,287",3.681,0.006800
2244,JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,"2,468",3.676,0.000980
2245,FEMS MICROBIOLOGY ECOLOGY,"16,592",3.675,0.015990
2246,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,"16,037",3.673,0.013460
2247,Archives of Civil and Mechanical Engineering,"2,552",3.672,0.003800
2247,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,"13,622",3.672,0.013250
2249,OPTICS EXPRESS,"119,017",3.669,0.161110
2250,Atmospheric Measurement Techniques,"9,875",3.668,0.021020
2250,INTERNATIONAL JOURNAL OF EATING DISORDERS,"9,612",3.668,0.010360
2250,INTERNATIONAL JOURNAL OF EATING DISORDERS,"9,612",3.668,0.010360
2253,BIOGERONTOLOGY,"2,516",3.667,0.003230
2253,Cell Division,608,3.667,0.000810
2253,JOURNAL OF PERSONALITY,"9,145",3.667,0.007420
2256,WORLD JOURNAL OF GASTROENTEROLOGY,"42,924",3.665,0.067670
2257,COMPUTERS & STRUCTURES,"14,934",3.664,0.010990
2257,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,"2,626",3.664,0.003200
2257,MOLECULAR PHARMACOLOGY,"16,632",3.664,0.010340
2260,Blood Transfusion,"1,905",3.662,0.003740
2261,Frontiers in Marine Science,"6,020",3.661,0.019170
2262,Annals of Clinical and Translational Neurology,"2,571",3.660,0.011170
2262,GeoHealth,187,3.660,0.000710
2262,Sustainable Production and Consumption,740,3.660,0.001080
2262,Sustainable Production and Consumption,740,3.660,0.001080
2266,CANCER BIOLOGY & THERAPY,"8,169",3.659,0.007790
2266,CLINICAL TOXICOLOGY,"3,923",3.659,0.006110
2268,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,"14,104",3.658,0.013620
2269,Annals of Physical and Rehabilitation Medicine,"1,411",3.657,0.003360
2269,EUROPEAN JOURNAL OF HUMAN GENETICS,"10,250",3.657,0.020470
2269,INTERNATIONAL GEOLOGY REVIEW,"5,373",3.657,0.006650
2272,JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,"8,121",3.656,0.011150
2272,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,"5,724",3.656,0.008940
2272,Open Forum Infectious Diseases,"4,138",3.656,0.020440
2275,ACCIDENT ANALYSIS AND PREVENTION,"20,494",3.655,0.020070
2275,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,"3,054",3.655,0.005930
2275,TREE PHYSIOLOGY,"11,442",3.655,0.007800
2278,Journal of Competitiveness,565,3.649,0.000240
2278,RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,"12,071",3.649,0.019380
2280,Tourism Management Perspectives,"2,000",3.648,0.002230
2281,Food & Nutrition Research,"1,731",3.647,0.003010
2281,LIFE SCIENCES,"23,572",3.647,0.019100
2281,SOCIOLOGY OF EDUCATION,"2,849",3.647,0.002050
2284,ADDICTIVE BEHAVIORS,"13,899",3.645,0.022950
2284,ADDICTIVE BEHAVIORS,"13,899",3.645,0.022950
2284,Journal of Hydrology-Regional Studies,"1,485",3.645,0.004010
2287,Big Data,451,3.644,0.001380
2287,Frontiers in Bioengineering and Biotechnology,"2,770",3.644,0.007660
2287,Frontiers in Endocrinology,"8,595",3.644,0.020280
2287,MEAT SCIENCE,"21,827",3.644,0.012460
2291,Ad Hoc Networks,"5,296",3.643,0.005650
2292,INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,"10,480",3.642,0.009380
2292,Neurosurgical Focus,"7,703",3.642,0.011280
2294,CIRP ANNALS-MANUFACTURING TECHNOLOGY,"11,814",3.641,0.007170
2294,MOLECULAR IMMUNOLOGY,"11,488",3.641,0.013540
2296,ANNALS OF THORACIC SURGERY,"35,221",3.639,0.040500
2296,International Journal of Greenhouse Gas Control,"10,547",3.639,0.013420
2296,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,"51,229",3.639,0.050620
2296,NUTRITION,"12,062",3.639,0.012140
2296,Nanotechnology Reviews,805,3.639,0.001190
2301,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,"16,618",3.638,0.008920
2301,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,"16,618",3.638,0.008920
2303,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,"31,192",3.637,0.033310
2303,Immune Network,"1,009",3.637,0.002140
2305,IMA Fungus,743,3.636,0.001710
2305,MOLECULAR HUMAN REPRODUCTION,"5,206",3.636,0.004980
2305,PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,"1,371",3.636,0.003310
2308,MAGNETIC RESONANCE IN MEDICINE,"32,159",3.635,0.029810
2309,Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,"1,977",3.634,0.002770
2309,VIRTUAL REALITY,670,3.634,0.000800
2311,APPLIED MATHEMATICAL MODELLING,"19,533",3.633,0.026980
2312,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,"8,014",3.632,0.011430
2313,INFORMATION SYSTEMS FRONTIERS,"2,370",3.630,0.002700
2313,MATURITAS,"7,723",3.630,0.010650
2315,PANCREATOLOGY,"3,853",3.629,0.007730
2316,JOURNAL OF GENERAL PHYSIOLOGY,"7,476",3.628,0.007390
2317,COMPUTER PHYSICS COMMUNICATIONS,"21,193",3.627,0.030190
2318,HISTOPATHOLOGY,"9,864",3.626,0.011950
2319,JOURNAL OF INFORMATION TECHNOLOGY,"1,733",3.625,0.002100
2319,JOURNAL OF INFORMATION TECHNOLOGY,"1,733",3.625,0.002100
2321,JOURNAL OF PROCESS CONTROL,"6,549",3.624,0.006380
2322,JOURNAL OF CARDIAC FAILURE,"4,983",3.623,0.008750
2322,JOURNAL OF SLEEP RESEARCH,"5,944",3.623,0.007380
2324,Journal of Flow Chemistry,418,3.622,0.000950
2325,EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,"13,985",3.616,0.014900
2325,SOCIAL SCIENCE & MEDICINE,"45,399",3.616,0.050540
2325,SOCIAL SCIENCE & MEDICINE,"45,399",3.616,0.050540
2328,Rheumatology and Therapy,453,3.615,0.001400
2329,Expert Review of Proteomics,"2,126",3.614,0.003780
2330,EUROPEAN UROLOGY SUPPLEMENTS,793,3.613,0.001420
2330,Smart Materials and Structures,"21,526",3.613,0.024110
2332,CATALYSIS COMMUNICATIONS,"15,358",3.612,0.013230
2333,BRITISH JOURNAL OF OPHTHALMOLOGY,"20,834",3.611,0.020320
2333,Human Gene Therapy Clinical Development,315,3.611,0.001180
2333,MOLECULAR AND CELLULAR BIOLOGY,"52,658",3.611,0.023330
2336,Energy for Sustainable Development,"3,035",3.610,0.004110
2336,GPS SOLUTIONS,"3,690",3.610,0.005130
2336,Plant Methods,"3,120",3.610,0.005290
2339,POLICY SCIENCES,"2,285",3.609,0.002000
2340,APPETITE,"19,611",3.608,0.025980
2340,IEEE Robotics and Automation Letters,"3,570",3.608,0.009510
2342,Future Medicinal Chemistry,"4,484",3.607,0.006910
2342,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,"7,642",3.607,0.013590
2344,CELLULAR AND MOLECULAR NEUROBIOLOGY,"4,732",3.606,0.006190
2344,International Journal of Advertising,"2,198",3.606,0.002390
2344,JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,"2,430",3.606,0.002440
2347,PRODUCTION PLANNING & CONTROL,"3,508",3.605,0.002940
2348,AUTONOMOUS ROBOTS,"3,472",3.602,0.004130
2349,HUMAN RELATIONS,"9,439",3.600,0.006540
2349,JOURNAL OF TEACHER EDUCATION,"3,849",3.600,0.002530
2351,APPLIED PHYSICS LETTERS,"214,337",3.597,0.183800
2352,CLINICAL CHEMISTRY AND LABORATORY MEDICINE,"8,395",3.595,0.010870
2352,Energy Reports,819,3.595,0.001240
2354,Antimicrobial Resistance and Infection Control,"2,032",3.594,0.006510
2354,BMC GENOMICS,"43,221",3.594,0.086250
2354,MICROCHEMICAL JOURNAL,"9,898",3.594,0.009580
2357,Annual Review of Economics,"1,754",3.591,0.010900
2357,IEEE ROBOTICS & AUTOMATION MAGAZINE,"3,225",3.591,0.002800
2357,PLANT SCIENCE,"16,280",3.591,0.014300
2360,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,"15,965",3.588,0.020200
2360,JOURNAL OF ENGINEERING TECHNOLOGY,189,3.588,0.000170
2360,JOURNAL OF THE LEARNING SCIENCES,"2,464",3.588,0.001550
2363,Journal of Clinical Sleep Medicine,"6,820",3.586,0.012790
2364,INFORMATION SYSTEMS RESEARCH,"8,364",3.585,0.005880
2365,STATISTICAL SCIENCE,"6,545",3.583,0.007480
2366,Journal of Field Robotics,"2,823",3.581,0.003740
2366,Mindfulness,"4,006",3.581,0.008480
2368,3D Printing and Additive Manufacturing,661,3.579,0.001660
2368,COMPUTERS & SECURITY,"4,168",3.579,0.004810
2368,Insights into Imaging,"1,948",3.579,0.003270
2368,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,"2,635",3.579,0.005410
2372,CLINICAL GENETICS,"7,723",3.578,0.013970
2372,Nanoscale Research Letters,"18,122",3.578,0.021230
2374,CURRENT ALLERGY AND ASTHMA REPORTS,"2,574",3.577,0.005490
2375,International Journal of Qualitative Methods,"2,664",3.576,0.002150
2376,MYCOSES,"4,188",3.575,0.005910
2376,PHYSICAL REVIEW B,"369,958",3.575,0.329580
2378,INTERNATIONAL JOURNAL OF HYPERTHERMIA,"4,397",3.574,0.004900
2379,Expert Review of Anticancer Therapy,"3,171",3.573,0.004660
2379,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,"79,542",3.573,0.062600
2379,JOURNAL OF INTERPERSONAL VIOLENCE,"7,657",3.573,0.010270
2382,Social Cognitive and Affective Neuroscience,"7,346",3.571,0.019600
2382,Social Cognitive and Affective Neuroscience,"7,346",3.571,0.019600
2384,DIGESTIVE AND LIVER DISEASE,"6,511",3.570,0.010320
2384,PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,"9,297",3.570,0.010570
2386,TOXICOLOGY LETTERS,"15,507",3.569,0.013200
2387,Journal of Cancer,"6,460",3.565,0.013560
2388,PHARMACOECONOMICS,"5,150",3.563,0.009130
2388,PHARMACOECONOMICS,"5,150",3.563,0.009130
2388,Perspectives in Ecology and Conservation,297,3.563,0.000970
2391,JOURNAL OF MOLECULAR ENDOCRINOLOGY,"4,048",3.562,0.005590
2391,MATERIALS CHARACTERIZATION,"13,728",3.562,0.018440
2393,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,"27,229",3.561,0.013860
2393,JOURNAL OF VIRAL HEPATITIS,"4,742",3.561,0.009960
2395,EUROPEAN EATING DISORDERS REVIEW,"2,622",3.560,0.004530
2396,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,"38,920",3.559,0.039510
2397,GEOLOGICAL SOCIETY OF AMERICA BULLETIN,"20,082",3.558,0.010390
2397,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,"8,417",3.558,0.013400
2397,Translational Oncology,"2,731",3.558,0.005580
2400,LANGMUIR,"118,038",3.557,0.081410
2400,Smart Structures and Systems,"2,519",3.557,0.003600
2402,HIV MEDICINE,"2,586",3.556,0.006100
2403,CULTURAL ANTHROPOLOGY,"2,546",3.554,0.003490
2404,JOURNAL OF MATERIALS SCIENCE,"55,099",3.553,0.036220
2405,Frontiers of Chemical Science and Engineering,"1,389",3.552,0.002080
2406,BIOMASS & BIOENERGY,"20,982",3.551,0.015660
2406,Journal of Oncology Practice,"3,916",3.551,0.014240
2406,NANOTECHNOLOGY,"45,441",3.551,0.045570
2409,Clinical Lung Cancer,"3,113",3.550,0.006840
2410,United European Gastroenterology Journal,"1,977",3.549,0.006660
2410,YALE JOURNAL OF BIOLOGY AND MEDICINE,"2,230",3.549,0.003170
2412,ENGINEERING STRUCTURES,"30,397",3.548,0.038830
2412,Minerva Urologica E Nefrologica,800,3.548,0.001340
2414,World Journal of Psychiatry,701,3.545,0.002190
2415,JOURNAL OF RURAL STUDIES,"6,271",3.544,0.007410
2415,SEMINARS IN NUCLEAR MEDICINE,"2,194",3.544,0.002430
2415,eNeuro,"3,237",3.544,0.015970
2418,READING RESEARCH QUARTERLY,"2,968",3.543,0.001790
2418,TECTONICS,"12,371",3.543,0.014240
2420,GERONTOLOGY,"4,209",3.540,0.005200
2420,HUMAN COMMUNICATION RESEARCH,"3,540",3.540,0.002660
2420,Seminars in Fetal & Neonatal Medicine,"2,583",3.540,0.004780
2423,NEW JOURNAL OF PHYSICS,"30,378",3.539,0.066800
2424,HEART FAILURE REVIEWS,"2,697",3.538,0.005120
2424,MODERN LANGUAGE JOURNAL,"4,167",3.538,0.003670
2426,CORAL REEFS,"7,763",3.536,0.007170
2426,Climate of the Past,"4,866",3.536,0.011910
2428,JMIR Mental Health,"1,103",3.535,0.003440
2429,JOURNAL OF HUMAN EVOLUTION,"8,766",3.534,0.009040
2429,JOURNAL OF HUMAN EVOLUTION,"8,766",3.534,0.009040
2431,Probiotics and Antimicrobial Proteins,"1,194",3.533,0.001460
2432,Bone & Joint Research,"1,325",3.532,0.003830
2432,CLINICAL AND EXPERIMENTAL IMMUNOLOGY,"13,253",3.532,0.012040
2434,Journal of Exposure Science and Environmental Epidemiology,"4,100",3.531,0.004480
2434,Toxins,"9,582",3.531,0.017240
2436,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,"45,244",3.530,0.043680
2436,INTERNATIONAL JOURNAL FOR PARASITOLOGY,"9,192",3.530,0.007780
2438,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,"2,211",3.529,0.000850
2438,MEDICAL CLINICS OF NORTH AMERICA,"3,161",3.529,0.004080
2440,International Journal of Sports Physiology and Performance,"5,072",3.528,0.009780
2441,Atmospheric Pollution Research,"2,728",3.527,0.003990
2441,Finance Research Letters,"2,380",3.527,0.003650
2443,JMIR Serious Games,350,3.526,0.000660
2443,JOURNAL OF BIOMEDICAL INFORMATICS,"8,253",3.526,0.011220
2445,INVESTIGATIONAL NEW DRUGS,"4,549",3.525,0.006770
2445,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,"17,615",3.525,0.014020
2447,Orphanet Journal of Rare Diseases,"7,494",3.523,0.014210
2448,COMMON MARKET LAW REVIEW,"1,417",3.522,0.001350
2449,Catalysts,"6,562",3.520,0.010350
2449,Therapeutic Advances in Gastroenterology,"1,740",3.520,0.003470
2451,AICHE JOURNAL,"28,630",3.519,0.018000
2451,CLINICS IN PERINATOLOGY,"2,557",3.519,0.003710
2451,INTERNATIONAL IMMUNOLOGY,"6,031",3.519,0.005050
2451,Journal of NeuroEngineering and Rehabilitation,"5,164",3.519,0.008450
2455,Journal of Saudi Chemical Society,"3,203",3.517,0.004020
2455,MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,"2,550",3.517,0.003490
2457,ICARUS,"24,491",3.516,0.034060
2458,Expert Review of Gastroenterology & Hepatology,"2,284",3.514,0.005210
2458,Interface Focus,"2,218",3.514,0.005060
2458,Obesity Facts,"1,620",3.514,0.002640
2458,PHYSICS OF FLUIDS,"37,863",3.514,0.033560
2462,Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,996,3.513,0.002720
2462,Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,996,3.513,0.002720
2462,JOURNAL OF ANALYTICAL TOXICOLOGY,"4,206",3.513,0.004720
2465,ECOLOGICAL ENGINEERING,"18,887",3.512,0.021170
2465,Journal of Service Theory and Practice,512,3.512,0.000860
2465,WORK AND STRESS,"3,278",3.512,0.001980
2468,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,"7,545",3.510,0.012190
2469,Journal of Proteomics,"10,344",3.509,0.017620
2469,Neurology-Genetics,804,3.509,0.003670
2471,APPLIED GEOGRAPHY,"7,972",3.508,0.011210
2472,Elements,"3,412",3.507,0.004300
2473,World Allergy Organization Journal,"1,872",3.506,0.002750
2474,JOURNAL OF NEURAL TRANSMISSION,"7,111",3.505,0.007940
2475,Current Opinion in Endocrinology Diabetes and Obesity,"2,480",3.504,0.004560
2476,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,"7,831",3.503,0.016750
2476,JOURNAL OF BIOTECHNOLOGY,"15,595",3.503,0.016250
2478,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,"46,652",3.502,0.024700
2478,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,"9,435",3.502,0.009960
2478,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,"9,435",3.502,0.009960
2481,SCIENCE EDUCATION,"5,048",3.500,0.002800
